NUMERO_SITE,NO_VGE,GEO1,GEO2,STATUT,BENNE,MODELE_BENNE,COMMUNE,ADDRESSE,HORAIRES,RIVE,TYPE_CENTRE,PHOTO,PAPIER,VERRE,PET,PET_CONTENEURS,ALU,FER,FER_ALU,CAPSULE_CAFE,PILE,TEXTILE,HUILE_MINERALE,HUILE_VEGETALE,DECHET_ENCOMBRANT,FERRAILLE,GRAVAT,MATIERE_INERTE,MAT_INCINERABLE,BRANCHE,FRIGO,SPECIAUX_MENAGER,ORDURE_MENAGERE,DECHETS_CUISINE,DECHETS_JARDINS,DECHETS_ORGANIQUES,AUTRE_DECHET,SHAPE.AREA,SHAPE.LEN
25-001,,46.2613,6.15493,Existante,En surface,Non renseigné,Genthod,"Baie du creux-de-genthod, Geneva	",,Droite,Communal,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,6.10205696,9.88314154155785
31-042,,46.195408,6.123462,Existante,En surface,Sulo,Lancy,"Ch. du fief-du-chapitre 6, Geneva",8h-20h,Gauche,Communal,,,,,,,,,,,,,,,,,,,,,,,,,,,31.03254528,19.7723389795678
31-045,,46.191261,6.114235,Constructi,Enterrée,Sulo,Lancy,"Avenue louis-bertrand 25, Geneva	",,Gauche,Privé,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5303808,13.5301116081197
46-008,,46.200324,6.100837,Existante,Enterrée,Non renseigné,Vernier,"Chemin de grandchamp 10, Geneva",8h-20h,Droite,Communal,,Oui,Oui,Oui,,Oui,Oui,,Oui,Oui,,,,,,,,,,,,,,,Oui,,24.7659008,17.664026167371002
33-035,,46.239819,6.07886,Existante,Enterrée,Villiger / sulo / molok,Meyrin,"Rue des lattes 59, Geneva	",,Droite,Communal,,Oui,Oui,Oui,,,,Oui,,Oui,Oui,,,,,,,,,,,Oui,Oui,Oui,,,43.90887424,34.3152907125523
33-039,,46.237426,6.093856,Existante,Enterrée,Villiger / sulo / molok,Meyrin,"Rue robert-adrien-stierlin 27, Geneva	",,Droite,Communal,,Oui,Oui,Oui,,,,Oui,,Oui,,,,,,,,,,,,Oui,Oui,Oui,,,23.6322816,28.5318279477341
33-040,,46.239167,6.091233,Existante,Enterrée,Villiger / sulo / molok,Meyrin,"Rue robert-adrien-stierlin 41, Geneva	",,Droite,Communal,,Oui,Oui,Oui,,,,Oui,,Oui,,,,,,,,,,,,Oui,Oui,Oui,,,14.66482688,20.0699040515917
14-008,,46.219542,6.207529,Existante,Enterrée,Vilaro-terriers,Choulex,"Route de choulex, Geneva",24h/24h,Gauche,Communal,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,22.11820032,16.693024326095497
06-026,,46.253046,6.151145,Existante,En surface,800lt,Bellevue,"Chemin des mollies 18, Geneva	",,Droite,Communal,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,19.38522112,31.8010229596931
06-027,,46.255298,6.15465,Existante,Enterrée,Ecopoint transvoirie léman,Bellevue,"Chemin des marettes, Geneva	",,Droite,Communal,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,5.58700032,8.38962667871625
18-006,,46.17573,6.08143,Existante,Enterrée,Villiger,Confignon,"Chemin de sous-le-clos, Geneva	",,Gauche,Communal,,Oui,Oui,Oui,,Oui,Oui,,Oui,Oui,Oui,,,,,,,Oui,Oui,,,,,,Oui,,23.2095744,27.1604155896705
18-003,,46.182284,6.090737,Existante,Enterrée,Villiger,Confignon,"Rue louis frederic eckert, Geneva	",,Gauche,Communal,,Oui,,,,,,,,,,,,,,,,Oui,,,,,,,Oui,,12.08762368,15.478697083861098
37-003,,46.198392,6.142296,Existante,Enterrée,Serbeco,Pregny-chambésy,"Plage du vengeron, Geneva	",,Droite,Cantonal,,Oui,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,20.5586432,21.8205767598962
48-009,,46.16843,6.174257,Existante,En surface,Non renseigné,Veyrier,"Chemin des bois 28, Geneva	",,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/Veyrier/site_48-009.JPG,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,14.13574656,16.7438005914938
41-009,,46.216502,6.035639,Existante,Enterrée,Non renseigné,Satigny,"Chemin de jarlot 7, Geneva	",,Droite,Communal,,,Oui,,,,,,,,,,,,,,,,,,,Oui,,,Oui,,20.33696768,18.044873066906003
32-009,,46.24747,6.230088,Existante,Enterrée,Non renseigné,Meinier,"Chemin de l'ancien-tir 10, Geneva	",,Gauche,Communal,,Oui,Oui,Oui,,Oui,,,Oui,Oui,,,,,,,,,,,,Oui,,,,,37.20118272,25.8180643024274
39-002,,46.211719,6.230064,Existante,Enterrée,Non renseigné,Puplinge,"Rue de fremis, Geneva",,Gauche,Communal,,Oui,Oui,Oui,,Oui,,,,Oui,,,,,,,,,,,,,,,,,15.46428416,17.697185775228004
08-017,,46.178174,6.141836,Existante,Enterrée,Villiger terriers,Carouge,"Chemin de la grande-piece 3, Geneva	",,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/Carouge/site_08-017.JPG,Oui,Oui,Oui,,,,Oui,Oui,Oui,Oui,,,,,,,,,,,Oui,Oui,Oui,,Carton,40.92788736,42.9328404052311
33-054,,46.231607,6.05881,Existante,Enterrée,Villiger / sulo / molok,Meyrin,"Ch. de la cascade, Geneva	",,Droite,Communal,,Oui,Oui,Oui,,,,Oui,,Oui,,,,,,,,,,,,Oui,Oui,Oui,,,18.41102848,17.244918338123597
34-010,,46.190853,6.104866,Existante,Enterrée,Villiger (vilaro 95),Onex,"Chemin de la calle 15, Geneva",8h-19h,Gauche,Communal,,Oui,Oui,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,31.65266432,19.9690349733442
44-001,,46.158662,6.158977,Existante,Enterrée,Non renseigné,Troinex,"Route de bossey, Geneva	",,Gauche,Communal,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,16.28532736,17.9879221048353
36-014,,46.160733,6.130307,Existante,En surface,Sulo ext.,Plan-les-ouates,"Chemin de l'aberieu, Geneva",Lu-ve 8h-20h di fermé,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/PLO/site_36-014.JPG,Oui,Oui,Oui,,,,Oui,,,Oui,,,,,,,,,,,Oui,,,,,61.65528576,32.7213259346172
36-017,,46.16788,6.119064,Existante,Enterrée,Sulo,Plan-les-ouates,"Route des chevaliers-de-malte 7, Geneva",Lu-ve 8h-20h di fermé,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/PLO/site_36-017.JPG,Oui,Oui,,,,,,,,,,,,,,,,,,,Oui,,,,,15.46764288,19.6420492000278
31-007,,46.19061,6.111,Existante,Enterrée,Sulo,Lancy,"Avenue des morgines, Geneva",Privée,Gauche,Communal,,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,Oui,,,,,11.95106304,13.8539386632046
31-023,,46.18996,6.10438,Existante,Enterrée,Viliger,Lancy,"Avenue du bois-de-la-chapelle, Geneva",8h-20h,Gauche,Communal,,Oui,Oui,Oui,,Oui,,,Oui,Oui,Oui,Oui,Oui,,,,,,,,,Oui,,,,,25.39814912,20.9600698283984
35-006,,46.198432,6.134056,Existante,Enterrée,Villiger,Perly-certoux,"Chemin du village-de-certoux 21, Geneva	",,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/Perly/site_35-006.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,7.98294016,12.861361235674499
43-017,,46.186985,6.199178,Existante,,,Thônex,"Chemin cure-desclouds, Geneva	",,Gauche,Communal,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,13.79501568,13.1833254002598
33-032,,46.237928,6.079439,Existante,Enterrée,Villiger / sulo / molok,Meyrin,"Promenades des artisans 28, Geneva	",,Droite,Communal,,Oui,Oui,Oui,,,,Oui,,Oui,Oui,,,,,,,,,,,,Oui,Oui,,,49.02846464,31.2833110498514
33-042,,46.223277,6.104797,Existante,Enterrée,Villiger / sulo / molok,Meyrin,"Chemin de-joinville 17, Geneva	",,Droite,Communal,,Oui,Oui,Oui,,,,,,Oui,Oui,,,,,,,,,,,Oui,Oui,Oui,,,27.01705216,27.6786273221724
06-029,,46.226575,6.148318,Existante,En surface,800lt,Bellevue,"Route de lausanne 312, Geneva	",,Droite,Communal,,Oui,Oui,Oui,,,,Oui,,,,,,,,,,,,,,Oui,,,,,6.51112448,10.3684505011086
07-001,,46.19119,6.04315,Existante,Enterrée,Multiples,Bernex,"Site de chatillon - route d'aire-la-ville, Geneva	",,Gauche,Esrec,,Oui,Oui,Oui,,,,Oui,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,,,,Oui,,20222.3648768,685.664212445641
18-012,,46.183494,6.090724,Existante,Enterrée,Villiger,Confignon,"Rue edouard-vallet, Geneva		",,Gauche,Communal,,Oui,,,,,,,,,,,,,,,,,,,,Oui,,,Oui,,8.8940544,12.5574730265187
33-023,,46.198392,6.142296,Existante,,,Meyrin,"Avenue jacob-daniel maillard 6, Geneva		",,Droite,Communal,,Oui,,,,,,,Oui,Oui,Oui,Oui,Oui,,Oui,,,,,Oui,,,,,Oui,Solvants/plastique,2268.69379072,302.80170328729804
48-023,,46.174216,6.084294,Existante,En surface,Non renseigné,Veyrier,"Place de l'eglise 2, Geneva		",,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/Veyrier/site_48-023.JPG,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,5.05085952,13.203293903628099
31-014,,46.185426,6.11326,Existante,En surface,Viliger,Lancy,"Vieux-chemin-d'onex, Geneva	",8h-20h,Gauche,Communal,,Oui,Oui,Oui,,Oui,,,Oui,Oui,Oui,,,,,,,,,,,,,,,,26.87991808,21.379488709005198
32-006,,46.247845,6.231656,Existante,Enterrée,Non renseigné,Meinier,"Chemin du stade 14, Geneva		",,Gauche,Communal,,Oui,Oui,Oui,,,,,Oui,,,,,,,,,,,,,Oui,,,,,62.90931712,34.1098258055527
29-003,,46.24129,6.271349,Existante,En surface,Non renseigné,Jussy,"Route de bellebouche 156, Geneva	",,Gauche,Communal,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,10.52246016,13.314976248268001
29-006,,46.242313,6.306414,Existante,En surface,Non renseigné,Jussy,"Route de monniaz 111, Geneva		",,Gauche,Communal,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,1.68865792,5.241540687079549
06-017,,46.254712,6.152856,Existante,En surface,800lt,Bellevue,"Chemin de la menuiserie 10, Geneva		",,Droite,Communal,,Oui,Oui,Oui,,,,Oui,,,,,,,,,,,,,,Oui,,,,,9.06706944,12.424763810236298
32-014,,46.250075,6.227967,Existante,Enterrée,,Meinier,"Route de la-repentance, Geneva		",,Gauche,Communal,,,,,,,,,,,,,,,,,,,,,,,,,,,27.369472,21.5245457588829
20-013,,46.190832,5.996202,Existante,Enterrée,Non renseigné,Dardagny,"Chemin de brive 10, Geneva		",,Droite,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.80125184,7.79880056220318
20-014,,46.190895,5.997094,Existante,Enterrée,Non renseigné,Dardagny,"Route de la donzelle 2c, Geneva	",,Droite,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42818048,10.768306819149698
20-015,,46.189294,5.998523,Existante,Enterrée,Non renseigné,Dardagny,"Route de la donzelle 22, Geneva		",,Droite,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18857216,7.14264509133688
20-016,,46.181721,6.007194,Existante,Enterrée,Non renseigné,Dardagny,"Route de la-plaine 14, Geneva		",,Droite,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.41306624,10.7585735255562
35-007,,46.15677,6.094161,Existante,,,Perly-certoux,"Route de certoux 29, Geneva		",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.38310144,19.6400908417544
20-018,,46.178108,6.001849,Existante,,,Dardagny,"Route de la-plaine 82, Geneva		",,Droite,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.90616832,14.370153240004
20-017,,46.177998,6.001036,Existante,,,Dardagny,"Route de la-plaine 94, Geneva		",,Droite,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33949184,10.7354481014823
20-019,,46.177264,6.000202,Existante,,,Dardagny,"Route de challex 4, Geneva		",,Droite,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3746048,10.7296500880526
18-008,,46.173797,6.082862,Existante,Enterrée,Villiger,Confignon,"Chemin de pontverre, Geneva		",,Gauche,Communal,,Oui,,,,,,,,,,,,,,,,,,,,Oui,,,,,6.45603328,10.532281616294899
18-001,,46.183367,6.09119,Existante,Enterrée,Villiger,Confignon,"Rue edouard-vallet 21, Geneva		",,Gauche,Communal,,Oui,,,,,,,,,,,,,,,,,,,,Oui,,,,,8.83720192,13.586318372645898
41-008,,46.215516,6.038914,Existante,En surface,Non renseigné,Satigny,"Chemin de pre-gentil 3, Geneva		",,Droite,Communal,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,14.9725184,17.2531846034207
35-002,,46.157869,6.097116,Existante,En surface,Non renseigné,Perly-certoux,"Route de certoux 13, Geneva		",,Gauche,Privé,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/Perly/site_35-002.JPG,,,,,,,,,,Oui,,,,,,,,,,,,,,,,16.87404544,17.269170057984297
01-011,,46.191397,6.045001,Existante,En surface,Non renseigné,Aire-la-ville,"Chemin de mussel, Geneva		",,Gauche,Communal,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,11.73209088,13.881715519630399
29-002,,46.233661,6.247295,Existante,En surface,Non renseigné,Jussy,"Chemin de sionnet 44, Geneva	",,Gauche,Communal,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,6.88340992,10.495727382132298
06-020,,46.256663,6.138582,Existante,En surface,800lt,Bellevue,"Chemin du planet 1, Geneva		",,Droite,Communal,,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,Oui,,,,,3.45137152,8.349638382531628
33-053,,46.230503,6.080739,Existante,Enterrée,Villiger / sulo / molok,Meyrin,"Rue de-livron 19, Geneva		",,Droite,Communal,,Oui,Oui,Oui,,,,Oui,Oui,Oui,,,,,,,,,,,,Oui,Oui,Oui,,,27.86197504,33.8231367404782
17-011,,46.216977,6.183778,Existante,Enterrée,Non renseigné,Cologny,"Chemin de la mairie 2, Geneva		",,Gauche,Communal,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,3.29916416,7.42349117864422
44-008,,46.168395,6.14798,Existante,Enterrée,Non renseigné,Troinex,"Avenue des crets 17, Geneva		",,Gauche,Communal,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,13.68080384,14.8676874006149
36-007,,46.198392,6.142296,Existante,En surface,Sulo ext.,Plan-les-ouates,"Chemin de la mere-voie  62, Geneva	",Lu-ve 8h-20h di fermé,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/PLO/site_36-007.JPG,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,5.00334592,9.8632789356933
36-008,,46.167447,6.115218,Existante,Enterrée,Sulo,Plan-les-ouates,"Route de saint-julien 176, Geneva	",Lu-ve 8h-20h di fermé,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/PLO/site_36-008.JPG,Oui,Oui,Oui,,,,Oui,Oui,,Oui,,,,,,,,,,,Oui,,,,,37.93846272,37.1260032341718
36-015,,46.198392,6.142296,Existante,Enterrée,Sulo,Plan-les-ouates,"Chemin de la mere-voie 52, Geneva	",Lu-ve 8h-20h di fermé,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/PLO/site_36-015.JPG,Oui,Oui,Oui,,,,Oui,Oui,Oui,Oui,,,,,,,,,,,Oui,,,,,40.31676416,26.7209524417654
36-006,,46.199956,6.131767,Existante,Enterrée,Sulo,Plan-les-ouates,"Route du velodrome 94, Geneva	",Lu-ve 8h-20h di fermé,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/PLO/site_36-006.JPG,Oui,Oui,,,,,,,,,,,,,,,,,,,Oui,,,,,19.15961344,21.0658725935996
31-034,,46.19409,6.11922,Existante,Enterrée,Non renseigné,Lancy,"Avenue du plateau, Geneva		",,Gauche,Communal,,Oui,,,,,,,,,,,,,,,,,,,,Oui,,,,,7.66640128,11.2515701944298
31-036,,46.196614,6.126555,Existante,Enterrée,Viliger,Lancy,"Chemin du fief-de-chapitre 7, Geneva	",8h-20h,Gauche,Communal,,Oui,Oui,Oui,,Oui,,,Oui,Oui,Oui,Oui,Oui,,,,,,,,,Oui,,,,,29.32146176,22.242278577727397
29-004,,46.234575,6.26492,Existante,Enterrée,Non renseigné,Jussy,"Route de jussy 312, Geneva		",,Gauche,Communal,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,10.33207808,13.032604745692899
14-003,,46.2258358,6.223569,Existante,Enterrée,Vilaro-terriers,Choulex,"Chemin des briffods, Geneva	",24h/24h,Gauche,Communal,,Oui,,Oui,,Oui,,,,,,,,,,,,,,,,Oui,,,,,119.83099904,38.854582426141704
31-040,,46.189071,6.124493,Constructi,Enterrée,Viliger,Lancy,"Rampe du pont-rouge 4, Geneva		",,Gauche,Privé,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7963648,21.5306018721038
33-041,,46.22541,6.108646,Existante,Enterrée,Villiger / sulo / molok,Meyrin,"Chemin de-joinville 40, Geneva		",,Droite,Communal,,Oui,Oui,Oui,,,,Oui,,Oui,,,,,,,,,,,,Oui,Oui,Oui,,,21.21302016,23.6493744996599
33-045,,46.234674,6.079676,Existante,Enterrée,Villiger / sulo / molok,Meyrin,"Avenue de vaudagne 52, Geneva		",,Droite,Communal,,Oui,Oui,Oui,,,,Oui,,Oui,,,,,,,,,,,,Oui,Oui,Oui,,,33.93847296,37.1446158748768
09-020,,46.174465,6.01895,Existante,Enterrée,Villiger cu 150,Cartigny,"Rue des trois-fontaines 15, Geneva		",,Gauche,Communal,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,3.75169792,7.7561164414398895
06-024,,46.255298,6.15465,Existante,Enterrée,Ecopoint transvoirie léman,Bellevue,"Chemin des marettes, Geneva		",,Droite,Communal,,Oui,Oui,Oui,,,,Oui,,,,,,,,,,,,,,Oui,,,,Carton,5.38380288,8.235627877691838
11-005,,46.154246,5.991203,Existante,Enterrée,Non renseigné,Chancy,"Chemin du cannelet  30, Geneva		",,Gauche,Communal,,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,Oui,Oui,,,,22.92416512,19.4796849567209
07-005,,46.181671,6.080655,Existante,Enterrée,Villiger,Bernex,"Route du pre-marais, Geneva	",8h-20h,Gauche,Communal,,Oui,Oui,Oui,,,,Oui,Oui,Oui,Oui,,,,,,,,,,,Oui,,,Oui,Batteries,25.761792,31.181580163321
18-009,,46.173797,6.082862,Existante,Enterrée,Villiger,Confignon,"Chemin de pontverre, Geneva		",,Gauche,Communal,,Oui,Oui,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,juin.12,10.5002199884558
18-010,,46.174744,6.083361,Existante,Enterrée,Villiger,Confignon,"Chemin des hutins 3, Geneva		",,Gauche,Communal,,Oui,,,,,,,,,,,,,,,,,,,,Oui,,,,,9.83318528,13.9524299835856
18-002,,46.182884,6.092122,Existante,Enterrée,Villiger,Confignon,"Rue rene-jollien 8, Geneva		",,Gauche,Communal,,Oui,Oui,Oui,,,,,Oui,Oui,,,,,,,,,,,,Oui,,,Oui,,25.84543232,30.089629943239498
17-001,,46.211692,6.172708,Existante,Enterrée,Non renseigné,Cologny,"Quai de cologny, Geneva	",,Gauche,Communal,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,59.8228992,31.3255678656025
33-031,,46.228693,6.070265,Existante,En surface,,Meyrin,"Chemin du bournoud, Geneva	",,Droite,Communal,,Oui,Oui,Oui,,,,Oui,,Oui,,,,,,,,,,,,Oui,Oui,Oui,Oui,,15.73121024,14.0777209067728
25-003,,46.261836,6.147979,Existante,Enterrée,Non renseigné,Genthod,"Chemin de la dime 1, Geneva ",,Droite,Communal,,Oui,Oui,Oui,,,,,Oui,Oui,,,,,,,,,,,,Oui,,,,Carton,25.91522816,20.4343529101274
38-002,,46.219109,6.2546,Existante,En surface,Non renseigné,Presinge,"Route de la louviere 8, Geneva",Lu-di,Gauche,Communal,,Oui,Oui,Oui,,Oui,Oui,,Oui,Oui,,,,,,,,Oui,,,,,,,,Matieres incinérables,7.61249792,16.2904925945466
32-011,,46.198392,6.142296,Existante,Enterrée,Non renseigné,Meinier,"Route de gy 37 - salle communale, Geneva	",,Gauche,Communal,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,16.57946112,16.7491969524283
06-003,,46.255536,6.144627,Existante,En surface,800lt,Bellevue,"Chemin de la roseliere 30, Geneva	",,Droite,Communal,,Oui,,,,,,,,,,,,,,,,,,,,Oui,,,,,18.76963328,18.655974207562302
08-016,,46.186791,6.138386,Existante,Enterrée,Villiger terriers,Carouge,"Avenue de la praille 15, Geneva	",,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/Carouge/site_08-016.JPG,Oui,Oui,Oui,,,,Oui,Oui,Oui,Oui,,,,,,,,,,,Oui,Oui,Oui,,Carton,36.48618496,25.3958105046199
12-006,,46.197954,6.187033,Existante,En surface,Non renseigné,Chêne-bougeries,"Route de chene 132, Geneva	",,Gauche,Communal,,Oui,,Oui,,,,Oui,,,Oui,,,Oui,,,,,,Oui,,,Oui,Oui,Oui,,219.7733376,71.3008382656643
44-004,,46.167018,6.151043,Existante,Enterrée,Non renseigné,Troinex,"Chemin de sous-le-cret 21, Geneva	",,Gauche,Communal,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,64.39010304,35.4734372776343
36-001,,46.168808,6.123768,Existante,Enterrée,Sulo,Plan-les-ouates,"Chemin de la milice 1, Geneva",Lu-ve 8h-20h di fermé,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/PLO/site_36-001.JPG,Oui,Oui,Oui,,,,Oui,Oui,Oui,,,,,,,,,,,,Oui,,,,,15.86765824,15.9340033021457
36-010b,,46.174075,6.103978,Existante,Enterrée,,Plan-les-ouates,"Ch. des cherpines, Geneva",Réservé voirie,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/PLO/site_36-010b.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,181.80079616,62.0324419703892
21-044,44.0,46.200788,6.155499,Existante,Enterrée,Non renseigné,Genève,"Carrefour de rive 1, Geneva	",,Gauche, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_44.pdf,,Oui,Oui, ,Oui, , ,Oui,Oui,, , , , , , , , , , , , , ,, ,10.3661568,14.306262783640298
23-067,67.0,46.204983,6.134895,Existante,En surface,Non renseigné,Genève,"Quai du seujet 24, Geneva	",,Droite, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_67.pdf,,Oui,, ,, , ,,Oui,, , , , , , , , , , , , , ,, ,4.98438144,10.067787626948698
21-060,60.0,46.20624,6.14196,Existante,Enterrée,,Genève,"Rue vallin, Geneva	",,Droite,,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_60.pdf,,Oui,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,19.46370048,19.5918780387875
23-093,93.0,46.218147,6.148092,Existante,Enterrée,Non renseigné,Genève,"Rue de lausanne 95, Geneva	",,Droite, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_93.pdf,,Oui,, ,Oui, , ,,,, , , , , , , , , , , , , ,, ,6.68008448,10.6470790450116
24-023,23.0,46.187331,6.146197,Existante,Enterrée,Non renseigné,Genève,"Rue de la colline 26, Geneva	",,Gauche, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_23.pdf,,Oui,, ,Oui, , ,Oui,Oui,Oui, , , , , , , , , , , , , ,, ,4.1967616,8.992686001841719
23-099,99.0,46.217298,6.139069,Existante,Enterrée,Non renseigné,Genève,"Chemin de-vincy 3, Geneva	",,Droite, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_99.pdf,,Oui,Oui, ,Oui, , ,Oui,Oui,Oui, , , , , , , , , , , , , ,, ,14.87732736,17.781258318210003
24-017,17.0,46.193777,6.147391,Existante,Enterrée,Non renseigné,Genève,"Boulevard de la cluse 81, Geneva	",,Gauche, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_17.pdf,,Oui,Oui, ,Oui, , ,Oui,Oui,, , , , , , , , , , , , , ,, ,12.45555712,15.1064517633232
23-016,16.0,46.219627,6.140504,Existante,Enterrée,Non renseigné,Genève,"Rue de montbrillant 65, Geneva	",,Droite, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_16.pdf,,Oui,Oui, ,Oui, , ,Oui,Oui,, , , , , , , , , , , , , ,, ,14.1582336,17.8751760091845
22-019,19.0,46.202804,6.162687,Existante,En surface,Non renseigné,Genève,"Rue des cordiers 8, Geneva	",,Gauche, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_19.pdf,,Oui,, ,Oui, , ,,Oui,Oui, , , , , , , , , , , , , ,, ,6.98912768,11.9826694946746
23-001,1.0,46.224983,6.131393,Existante,En surface,Non renseigné,Genève,"Avenue de-bude 15, Geneva	",,Droite, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_1.pdf,,Oui,, ,Oui, , ,,Oui,Oui, , , , , , , , , , , , , ,, ,30.80404992,21.9298838384183
24-073,73.0,46.195787,6.146955,Existante,En surface,Non renseigné,Genève,"Rue du petit-saleve 10, Geneva	",,Gauche, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_73.pdf,,Oui,, ,Oui, , ,,Oui,Oui, , , , , , , , , , , , , ,, ,5.50498304,10.1221219215036
24-009,9.0,46.191871,6.143019,Existante,Enterrée,Non renseigné,Genève,"Rue dancet 41, Geneva	",,Gauche, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_9.pdf,,Oui,Oui, ,Oui, , ,Oui,Oui,Oui, , , , , , , , , , , , , ,, ,13.86160128,18.1607269185981
23-113,113.0,46.209292,6.129023,Existante,Enterrée,Non renseigné,Genève,"Rue lamartine 2, Geneva	",,Droite, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_113.pdf,,Oui,Oui, ,Oui, , ,,Oui,, , , , , , , , , , , , , ,, ,12.81949696,17.1088379921062
23-043,43.0,46.21874,6.122172,Existante,Enterrée,Non renseigné,Genève,"Avenue du bouchet 18, Geneva	",,Droite, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_43.pdf,,Oui,Oui, ,Oui, , ,Oui,Oui,Oui, , , , , , , , , , , , , ,, ,9.78788352,13.8985728915933
21-046,46.0,46.207363,6.131264,Existante,Enterrée,Non renseigné,Genève,"Rue henri-frederic-amiel 12, Geneva	",,Droite, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_46.pdf,,Oui,, ,Oui, , ,Oui,Oui,, , , , , , , , , , , , , ,, ,6.45023744,10.515727022432001
22-036,36.0,46.200703,6.160069,Existante,En surface,Non renseigné,Genève,"Rue de jargonnant 5, Geneva	",,Gauche, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_36.pdf,,Oui,, ,Oui, , ,,Oui,Oui, , , , , , , , , , , , , ,, ,6.47897088,11.9083911078336
24-075,75.0,46.194058,6.128858,Existante,En surface,Non renseigné,Genève,"Rue eugene-marziano 22, Geneva	",,Gauche, ,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/site_75.pdf,,Oui,, ,Oui, , ,,,, , , , , , , , , , , , , ,, ,6.40581632,10.5305214990495
