NUMERO_SITE,NO_VGE,GEO1,GEO2,STATUT,BENNE,MODELE_BENNE,COMMUNE,ADDRESSE,HORAIRES,RIVE,TYPE_CENTRE,PHOTO,PAPIER,VERRE,PET,PET_CONTENEURS,ALU,FER,FER_ALU,CAPSULE_CAFE,PILE,TEXTILE,HUILE_MINERALE,HUILE_VEGETALE,DECHET_ENCOMBRANT,FERRAILLE,GRAVAT,MATIERE_INERTE,MAT_INCINERABLE,BRANCHE,FRIGO,SPECIAUX_MENAGER,ORDURE_MENAGERE,DECHETS_CUISINE,DECHETS_JARDINS,DECHETS_ORGANIQUES,AUTRE_DECHET,SHAPE.AREA,SHAPE.LEN
33-048,,46.234423,6.077543,Existante,Enterrée,Villiger / sulo / molok,Meyrin,"Avenue francois-besson 15, Geneva	",,Droite,Communal,,Oui,Oui,Oui,,,,Oui,,Oui,,,,,,,,,,,,Oui,Oui,Oui,,,27.71304448,21.545145434930898
33-058,,46.227325,6.069424,Existante,En surface,,Meyrin,"Rue virginio-malnati 36, Geneva	",,,,,Oui,Oui,Oui,,,,,,Oui,,,,,,,,,,,,Oui,Oui,Oui,,,23.62097664,24.4969264489962
46-014,,46.212049,6.111655,Existante,En surface,,Vernier,"Ch. des eglantines 4, Geneva	",,Droite,Communal,,Oui,Oui,Oui,,Oui,Oui,,Oui,Oui,Oui,,,,,,,,,,,,,,,,53.47934208,29.743104593844198
06-023,,46.255298,6.15465,Existante,Enterrée,Ecopoint transvoirie léman,Bellevue,"Chemin des marettes, Geneva	",,Droite,Communal,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,4.93766656,8.888405004273828
03-008,,46.159005,5.986247,Existante,Enterrée,Non renseigné,Avully,"Chemin du martinet 30, Geneva	",,Gauche,Communal,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,73.70686464,35.857834372666595
03-006,,46.1664,5.982722,Existante,Enterrée,Non renseigné,Avully,"Chemin du martinet 46, Geneva	",,Gauche,Communal,,Oui,,,,,,,,,,,,,,,,,,,,,,,Oui,,9.57800448,12.3833675927572
40-002,,46.194889,6.007034,Existante,En surface,Non renseigné,Russin,"Route des molards, Geneva",,Droite,Communal,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,8.24541184,11.4969162693438
18-014,,46.172826,6.080184,Existante,Enterrée,Villiger,Confignon,"Chemin de sur-beauvent 2, Geneva	",,Gauche,Communal,,Oui,,,,,,,,,,,,,,,,,,,,Oui,,,,,10.46749184,14.637726365878098
18-004,,46.176523,6.082789,Existante,En surface,Non renseigné,Confignon,"Chemin de chaumont, Geneva",,Gauche,Communal,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,3.40779008,7.38877094232856
18-011,,46.183494,6.090724,Existante,Enterrée,Villiger,Confignon,"Rue edouard-vallet, Geneva	",,Gauche,Communal,,Oui,,,,,,,,,,,,,,,,Oui,,,,Oui,,,Oui,,10.96697856,15.869020143052099
25-004,,46.217833,6.185508,Existante,Enterrée,Non renseigné,Genthod,"Ch. de la mairie 8, Geneva	",,Droite,Communal,,Oui,Oui,Oui,,,,Oui,Oui,Oui,,,,,,,,,,,,Oui,,,,Carton,27.2627712,21.492508072431296
48-008,,46.165941,6.187234,Existante,En surface,Non renseigné,Veyrier,"Chemin de castelver 6, Geneva	",,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/Veyrier/site_48-008.JPG,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,17.6567296,17.0104296492888
48-009,,46.16843,6.174257,Existante,Enterrée,Non renseigné,Veyrier,"Chemin des bois 28, Geneva	",,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/Veyrier/site_48-009.JPG,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,7.13916416,12.316476570239299
20-005,,46.184802,6.008227,Existante,En surface,Non renseigné,Dardagny,"Route de la-plaine 2, Geneva	",,Droite,Communal,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,9.945088,12.8942578279643
27-001,,46.252573,6.259678,Existante,En surface,Non renseigné,Gy,"Route de gy  166, Geneva",24h/24h,Gauche,Communal,,,Oui,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,8.86243328,12.9884598793819
45-003,,46.221273,6.202979,Existante,Enterrée,Villiger,Vandoeuvres,"Route de choulex 4, Geneva	",,Gauche,Communal,,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,Oui,,,,,9.65236736,13.8000150344053
32-001,,46.236256,6.209456,Projet,En surface,Non renseigné,Meinier,"Chemin des crets-de-la-capite, Geneva	",,Gauche,Communal,,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,11.13227264,16.3788909333488
29-007,,46.23817,6.271597,Existante,Enterrée,Non renseigné,Jussy,"Route de chateau-l'eveque 20, Geneva	",,Gauche,Communal,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,21.18090752,18.7342273166882
06-001,,46.261653,6.139863,Existante,En surface,800lt,Bellevue,"Chemin des grands-bonnets 24, Geneva	",,Droite,Communal,,Oui,Oui,,,,,,,,,,,,,,,,,,,Oui,,,,,4.89046016,9.8820692197788
33-001,,46.229396,6.082997,Existante,Enterrée,Villiger / sulo / molok,Meyrin,"Rue gilbert 38, Geneva	",,Droite,Communal,,,,Oui,,,,,,,Oui,,,,,,,,,,,,,,Oui,,54.3260672,30.3161239660082
44-016,,46.160236,6.143383,Existante,En surface,Non renseigné,Troinex,"Chemin de roday 4, Geneva	",,Gauche,Communal,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,10.11564544,13.5065893869842
44-012,,46.161825,6.152512,Existante,Enterrée,Non renseigné,Troinex,"Route de bossey 3, Geneva	",,Gauche,Communal,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,37.16448256,24.4815324651238
36-018,,46.16679,6.118909,Existante,En surface,Sulo ext.,Plan-les-ouates,"Route des chevaliers-de-malte 14, Geneva",Lu-ve 8h-20h di fermé,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/PLO/site_36-018.JPG,Oui,Oui,Oui,,,,Oui,Oui,Oui,Oui,,,,,,,,,,,Oui,,,,"Oréa, néon: sur rendez-vous",39.3314304,41.9244981660579
36-010a,,46.174411,6.101435,Existante,En surface,,Plan-les-ouates,"ch. des verjus 135, Geneva",Réservé centre sportif,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/PLO/site_36-010a.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,9.54482688,13.2618385757582
36-010,,46.172466,6.105798,Existante,En surface,Non renseigné,Plan-les-ouates,"Chemin du pont-du-centenaire, Geneva ",Réservé voirie,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/PLO/site_36-010.JPG,,Oui,Oui,,,,,,,,,,,,,,,,,,Oui,Oui,Oui,Oui,Balayures,6.98273024,10.783435085010598
31-027,,46.18321,6.11397,Existante,Enterrée,Viliger,Lancy,"Chemin de la colline, Geneva",8h-20h,Gauche,Privée,,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,Oui,,,,,15.15421696,18.3488253657928
36-011,,46.171893,6.117543,Existante,Enterrée,Sulo,Plan-les-ouates,"Chemin des voirets 22, Geneva",Lu-ve 8h-20h di fermé,Gauche,Communal,http://ge.ch/sitg/geodata/SITG/DECHETTERIES/PLO/site_36-011.JPG,Oui,Oui,Oui,,,,Oui,Oui,Oui,,,,,,,,,,,,Oui,,,,,36.2971136,25.4485564996634
31-002,,46.178768,6.124232,Existante,Enterrée,Viliger,Lancy,"Avenue eugene-lance, Geneva",8h-20h,Gauche,Communal,,Oui,Oui,Oui,,Oui,,,Oui,Oui,Oui,,,,,,,,,,,Oui,,,,,26.53782016,30.5458711803242
31-025,,46.18041,6.120367,Existante,Enterrée,Viliger,Lancy,"Chemin des semailles 5, Geneva",8h-20h,Gauche,Communal,,Oui,,,,,,,,,,,,,,,,,,,,Oui,,,,,29.53478144,22.198647877327296
31-028,,46.180574,6.122836,Existante,Enterrée,Viliger,Lancy,"Avenue eugene-lance 28, Geneva",8h-20h,Gauche,Communal,,Oui,Oui,Oui,,Oui,,,Oui,Oui,Oui,,,,,,,,,,,Oui,,,,,25.68204288,30.5626016511076
31-006,,46.209215,6.077581,Existante,En surface,Sulo,Lancy,"Chemin du progres, Geneva",8h-20h,Gauche,Communal,,Oui,,,,,,,,,,,,,,,,,,,,Oui,,,,,25.2141568,28.1662143302215
